오브젝트 아이디,공간정보참조체계 코드,시군구명,공간정보
101,1000000387083G00110000000000100468,창도군,"SDE.ST_GEOMETRY(8,2759,1005937.652,2035317.76,1046526.999,2090353.259,NULL,NULL,NULL,NULL,872888004.6,193522.1496,19,'oracle.sql.BLOB@2f98fd63')"
102,1000000387084G00110000000000100470,금강군,"SDE.ST_GEOMETRY(8,2670,1022162.692,2035298.496,1063118.004,2086379.541,NULL,NULL,NULL,NULL,899195543.8,190838.8744,19,'oracle.sql.BLOB@7be6839f')"
103,1000000387093G00110000000000100549,철원군,"SDE.ST_GEOMETRY(264,2789,937355.1256,2016938.857,1033947.085,2052633.568,NULL,NULL,NULL,NULL,912953710.8,314071.7701,19,'oracle.sql.BLOB@2bc0f41')"
104,1000000387101G00110000000000100523,평강군,"SDE.ST_GEOMETRY(8,1606,958978.971,2034118.208,1006058.087,2063647.809,NULL,NULL,NULL,NULL,809879797.4,163533.4819,19,'oracle.sql.BLOB@18ebd87a')"
105,1000000387103G00110000000000100561,갈말읍,"SDE.ST_GEOMETRY(8,167,981456.3063,2027749.497,988286.8464,2036462.386,NULL,NULL,NULL,NULL,29789792.42,31506.83654,19,'oracle.sql.BLOB@70f04de1')"
106,1000000387103G00110000000000100562,동송읍,"SDE.ST_GEOMETRY(8,1451,957515.2546,2024467.741,985163.6013,2036228.477,NULL,NULL,NULL,NULL,108262612.6,80692.84492,19,'oracle.sql.BLOB@3f45c21b')"
107,1000000387112G00110000000000100512,김화군,"SDE.ST_GEOMETRY(8,1483,994800.5629,2034011.322,1032589.688,2065952.738,NULL,NULL,NULL,NULL,584186840.3,125810.6328,19,'oracle.sql.BLOB@5d6104b5')"
108,1000000387123G00110000000000100564,화천군,"SDE.ST_GEOMETRY(8,722,1006394.675,2027741.141,1031777.694,2031990.638,NULL,NULL,NULL,NULL,61182357.36,64895.36397,19,'oracle.sql.BLOB@1b0f3f6b')"
109,1000000387131G00110000000000100565,연천군,"SDE.ST_GEOMETRY(264,1778,938568.0716,1995523.523,967182.9635,2030143.552,NULL,NULL,NULL,NULL,217297612.9,123773.978,19,'oracle.sql.BLOB@6962f6ae')"
110,1000000387131G00110000000000100578,연천읍,"SDE.ST_GEOMETRY(8,257,960633.4755,2013935.551,967140.493,2019039.383,NULL,NULL,NULL,NULL,15045234.18,21120.51529,19,'oracle.sql.BLOB@7826b483')"
111,1000000387131G00110000000000100581,군남면,"SDE.ST_GEOMETRY(8,60,959460.3698,2013957.167,962176.8524,2015266.116,NULL,NULL,NULL,NULL,1875727.736,6783.719001,19,'oracle.sql.BLOB@2db7539e')"
112,1000000388051G00110000000000100462,고성군,"SDE.ST_GEOMETRY(8,5702,1033515.337,2041126.973,1076435.783,2096723.475,NULL,NULL,NULL,NULL,1051735025,226743.848,19,'oracle.sql.BLOB@4fa1d524')"
113,1000000388093G00110000000000100557,양구군,"SDE.ST_GEOMETRY(8,617,1030827.055,2027798.352,1058696.927,2038740.292,NULL,NULL,NULL,NULL,216458680,73395.90436,19,'oracle.sql.BLOB@31088df8')"
114,1000000418113G00110000000000100059,운흥군,"SDE.ST_GEOMETRY(8,535,1066838.81,2344660.841,1105955.811,2385075.286,NULL,NULL,NULL,NULL,941186209,145335.2176,19,'oracle.sql.BLOB@7cc7a5f6')"
115,1000000418142G00110000000000100079,갑산군,"SDE.ST_GEOMETRY(8,1187,1048590.002,2329408.585,1102748.682,2367283.095,NULL,NULL,NULL,NULL,1159929161,197331.4076,19,'oracle.sql.BLOB@6bfb2253')"
116,1000000419013G00110000000000100049,연사군,"SDE.ST_GEOMETRY(8,2420,1111375.479,2396700.697,1150556.467,2451874.262,NULL,NULL,NULL,NULL,1173604820,189619.8141,19,'oracle.sql.BLOB@2ab2d2fd')"
117,1000000419041G00110000000000100012,청진시,"SDE.ST_GEOMETRY(264,20605,1153283.551,2411216.191,1225110.28,2479789.322,NULL,NULL,NULL,NULL,1466538869,385624.9646,19,'oracle.sql.BLOB@5fa0fd1e')"
118,1000000419064G00110000000000100053,경성군,"SDE.ST_GEOMETRY(264,6678,1122207.645,2363324.981,1192931.268,2431862.283,NULL,NULL,NULL,NULL,2533432541,312196.7729,19,'oracle.sql.BLOB@1e090b09')"
119,1000000419134G00110000000000100078,길주군,"SDE.ST_GEOMETRY(8,1672,1124396.731,2312346.344,1162883.838,2367679.563,NULL,NULL,NULL,NULL,1032238192,195920.1964,19,'oracle.sql.BLOB@2c525b21')"
